fight_id,fighter_id,knockdowns,sig_str_landed,sig_str_att,total_str_landed,total_str_att,takedowns_landed,takedowns_att,sub_att,reversals,control_time,sig_head_landed,sig_head_att,sig_body_landed,sig_body_att,sig_leg_landed,sig_leg_att,sig_distance_landed,sig_distance_att,sig_clinch_landed,sig_clinch_att,sig_ground_landed,sig_ground_att
d8f64b001cd590fa,f1f9e48a0d150757,0,15,29,19,33,1,1,1,0,1:18,9,22,4,5,2,2,12,24,1,2,2,3
d8f64b001cd590fa,38b50fd1e1b5b656,0,13,56,15,58,0,1,0,0,0:17,5,46,2,3,6,7,12,53,1,3,0,0
83406cd29d3c2d0f,89b8d1bf1ff09d1d,0,35,79,38,82,1,1,0,0,0:53,25,67,8,10,2,2,29,71,5,7,1,1
83406cd29d3c2d0f,cbf94e4c4af4ff6d,0,16,42,16,42,0,2,0,0,0:00,4,25,8,10,4,7,15,40,1,2,0,0
d90567f7d4372160,d1941565abf50b16,0,22,60,39,78,0,0,1,1,2:18,17,52,5,7,0,1,9,34,5,10,8,16
d90567f7d4372160,eb29176b03dfa888,0,9,24,11,26,1,2,0,1,0:46,5,20,2,2,2,2,8,21,1,3,0,0
ecfe522e5f1e766b,9583662df31d943f,0,6,16,34,49,3,4,2,0,4:09,5,15,0,0,1,1,1,4,1,3,4,9
ecfe522e5f1e766b,91d73ee59347ac16,0,1,6,2,7,0,0,0,0,0:00,0,4,1,1,0,1,0,5,1,1,0,0
44c9ca6a502db390,2f3f12002564bb55,0,7,13,26,34,1,2,0,0,3:04,4,8,1,1,2,4,1,4,3,6,3,3
44c9ca6a502db390,3ba3b5cc94498437,0,23,35,29,41,1,3,0,0,1:25,10,17,10,13,3,5,2,7,16,23,5,5
79298011365a6d90,484acc7b0f856ce9,1,42,51,49,58,0,0,0,0,0:48,35,43,6,7,1,1,7,10,35,41,0,0
79298011365a6d90,aa79d5399571068e,0,0,1,4,5,0,0,0,0,0:06,0,1,0,0,0,0,0,0,0,1,0,0
c4e16d57dd9a1b39,058e4e08a1ad8aba,0,6,16,10,20,0,0,0,0,0:00,0,6,1,1,5,9,6,15,0,1,0,0
c4e16d57dd9a1b39,abbc737317f66b81,0,8,23,20,35,2,3,0,0,2:21,4,17,2,3,2,3,7,20,0,0,1,3
2f736846aebbf12d,75f871836d41f90f,0,13,23,42,53,0,2,0,0,2:56,5,12,3,3,5,8,5,13,8,10,0,0
2f736846aebbf12d,7f0b4a75ef3039a3,1,15,29,31,48,0,0,0,0,0:52,11,25,2,2,2,2,4,15,9,12,2,2
86b8419f22f398c0,83fd97284f4bb4a4,0,13,23,17,29,2,2,0,0,3:44,8,16,1,3,4,4,1,4,3,5,9,14
86b8419f22f398c0,64360e618823a8e4,0,3,13,15,26,0,1,1,0,0:00,0,9,2,3,1,1,2,11,1,2,0,0
e65da830a1928fe6,c0ab242c40decc55,1,15,30,15,30,0,0,0,0,0:04,9,24,2,2,4,4,12,26,0,0,3,4
e65da830a1928fe6,88a9bc81271ccd89,0,4,20,4,20,0,0,0,0,0:00,1,14,3,5,0,1,4,20,0,0,0,0
f7cd0a90da3be3b2,365fee2da473b177,0,20,35,36,56,2,2,0,0,3:15,7,18,4,6,9,11,13,23,0,0,7,12
