run_date,n_fights,new_events,new_fights,cutoff,log_loss,brier,accuracy,ece,finish_model,finish_log_loss
2026-07-18,8482,0,0,2025-06-27,0.6568,0.2318,0.6197,0.0503,LogReg,1.0124
2026-07-18,8543,5,62,2025-07-11,0.6584,0.2327,0.6276,0.0482,LogReg,1.0117
2026-07-18,8543,0,0,2025-07-11,0.6584,0.2327,0.6276,0.0482,LogReg,1.0117
2026-07-18,8543,0,0,2025-07-11,0.6584,0.2327,0.6276,0.0482,LogReg,1.0117
2026-07-18,8543,0,0,2025-07-11,0.6584,0.2327,0.6276,0.0482,LogReg,1.0101
2026-07-18,8543,0,0,2025-07-11,0.6584,0.2327,0.6276,0.0482,LogReg,1.0101
